pH,E.C.,HCO3,Cl,NO3,SO4,TH,Ca,Mg,Na,K
7.92,370.0,183,14.0,3.1,4.3,150,48,7.3,8.5,0.8
7.86,900.0,317,14.0,16,146,400,92,41.0,14.0,0.8
8.16,500.0,256,14.0,8.201971830985915,8.6,230,36,34.0,3.4,1.2
8.03,410.0,159,36.0,1.8,6.7,160,44,12.0,16.0,0.8
7.42,280.0,85,21.0,19,17,100,16,15.0,13.0,0.8
7.67,360.0,183,7.1,0.6,9.6,140,48,4.9,11.0,0.8
7.86,670.0,293,21.0,16,38,300,72,29.0,8.5,0.8
8.03,270.0,134,7.1,8.201971830985915,5,110,24,12.0,6.9,1.5
7.98,400.0,159,14.0,5,37,170,40,17.0,6.9,1.2
7.81,450.0,110,14.0,3.1,103,200,56,15.0,7.4,0.8
8.57,2350.0,159,92.0,0.2,816,170,12,34.0,448.0,9.7
8.04,860.0,207,14.0,0.37,221,400,92,41.0,3.2,1.2
7.89,530.0,220,28.0,8.201971830985915,29,180,36,22.0,35.0,1.5
7.81,220.0,85,21.0,0.24,5.8,90,16,12.0,5.5,1.2
7.5,235.0,110,7.1,1.9,6.7,90,20,9.7,9.9,0.8
7.89,350.0,122,14.0,3.1,46,140,40,9.7,12.0,1.2
8.06,600.0,171,14.0,1.2,125,270,56,32.0,4.6,1.2
7.69,240.0,85,28.0,0.3,2.4,80,16,9.7,15.0,0.8
7.77,350.0,146,14.0,9.3,20,140,40,9.7,14.0,1.2
7.26,190.0,73,14.0,5,5.7,70,12,9.7,9.2,0.4
7.53,180.0,61,14.0,0.6,14,70,20,4.9,5.0,0.8
7.56,250.0,128,7.1,0.6,1.9,100,28,7.3,7.4,0.8
7.61,185.0,49,7.1,27,14,70,16,7.3,7.1,0.8
7.26,165.0,79,7.1,2.5,2.4,50,12,4.9,13.0,0.4
7.76,880.0,354,28.0,28,77,400,92,41.0,7.8,0.8
7.85,350.0,146,14.0,13,18,140,44,7.3,9.7,1.9
7.91,680.0,281,14.0,8.201971830985915,72,310,64,36.0,9.4,0.8
7.99,720.0,232,14.0,3.1,134,340,72,39.0,3.7,1.2
8.18,170.0,73,14.0,8.201971830985915,2.4,50,12,4.9,13.0,0.4
8.12,400.0,171,21.0,1,19,150,24,22.0,19.0,1.5
8.28,630.0,232,21.0,2.3,84,300,56,39.0,3.0,0.7
8.04,135.0,61,7.1,8.201971830985915,2,50,4,9.7,5.5,0.3
9.51,225.0,24,2.1,2,16,80,16,10.0,11.0,0.5
8.0,505.0,305,7.1,18,7.1,260,72,19.5,8.5,1.4
7.9,581.0,329,7.1,34,6,300,76,26.8,8.3,1.3
8.1,564.0,342,7.1,23,5.4,290,76,24.3,9.2,1.4
8.0,592.0,366,14.0,5.5,2.5,295,64,32.8,14.0,1.6
7.8,570.0,354,7.1,0.25,2.8,230,32,36.5,35.0,2.7
8.0,628.0,403,7.1,0.18,3.2,260,56,29.2,39.0,2.4
7.9,902.0,317,92.0,33,71,360,108,21.9,63.0,2.9
8.1,564.0,354,7.1,1.4,6.3,135,28,15.8,80.0,1.9
8.0,559.0,354,11.0,1.8,2.7,245,48,30.4,29.0,1.8
8.1,812.0,329,96.0,0.81,37,350,72,41.3,44.0,3.6
7.69,620.0,378,14.0,8.201971830985915,10,275,56,38.8,29.0,3.2
7.97,455.0,262,18.0,8.201971830985915,9.1,200,44,22.0,20.0,4.6
7.75,950.0,354,78.0,26,80,360,68,46.0,70.0,8.4
8.03,420.0,250,3.5,0.09,13,180,44,17.0,14.0,3.8
8.15,455.0,244,11.0,5.1,25,230,52,24.0,8.1,3.8
8.15,545.0,281,25.0,8.201971830985915,36,280,60,32.0,7.5,4.3
7.75,1535.0,494,128.0,86,177,490,64,80.0,80.0,119.0
7.86,544.0,299,11.0,1.3,37,270,68,24.0,6.9,5.9
7.75,550.0,329,7.1,7.7,13,250,64,22.0,23.0,3.2
8.1,655.0,378,14.0,23,11,315,76,30.0,19.0,2.5
8.15,397.0,220,11.0,11,7.8,180,48,15.0,11.0,2.8
7.88,665.0,329,35.0,29,23,290,76,24.0,31.0,4.0
8.2,465.0,287,11.0,0.08,4.3,185,36,23.0,30.0,5.0
7.7,1500.0,390,128.0,3.8,310,610,88,95.0,92.0,11.0
7.9,725.0,427,21.0,0.31,17,200,44,22.0,87.0,5.1
